event,detId,x,y,z,width,isSeed,mip,modType
1,438838282,87,0,0,1,0,0,2
1,411612282,786,1,0,1,0,0,1
1,411612281,785,1,0,1,1,0,1
1,411337822,482,0,0,1,0,1,2
1,411337822,495,0,0,2,0,0,2
1,411337821,481,4,4,1,1,0,2
1,438838281,85,26,10,1,1,0,2
1,437788682,635,0,0,2,0,0,2
1,437788681,636,6,6,1,1,0,2
1,438838286,2,0,0,2,0,1,2
1,438571070,652,0,0,1,0,0,2
1,438571069,652,1,1,1,1,0,2
1,420000790,176,1,0,2,0,0,1
1,420000789,176,1,0,1,1,0,1
1,438838285,4,28,12,1,1,0,2
1,412136602,113,0,0,1,0,0,1
1,412136601,112,0,0,1,1,0,1
1,419726354,816,0,0,1,0,1,2
1,419726353,816,1,1,1,1,0,2
1,419726353,816,2,2,1,1,0,2
1,420525082,344,0,0,1,0,0,1
1,420525081,343,0,0,2,1,0,1
1,411866242,683,0,0,1,0,0,1
1,411866241,682,0,0,1,1,0,1
1,411341917,500,30,14,4,1,0,2
1,411341917,487,31,15,1,1,0,2
1,419730450,814,0,0,2,0,0,2
1,420254742,563,0,0,1,0,0,1
1,420254741,562,0,0,2,1,0,1
1,419730449,815,29,13,1,1,0,2
1,437523502,201,0,0,1,0,0,2
1,437523501,203,20,4,1,1,0,2
1,439889938,286,0,0,1,0,0,2
1,439889937,286,26,10,1,1,0,2
1,438570046,658,0,0,1,0,0,2
1,439616598,230,0,0,3,0,1,2
1,439616597,231,4,4,1,1,0,2
1,439616597,231,5,5,1,1,0,2
1,438570045,658,30,14,1,1,0,2
1,437787658,623,0,0,2,0,0,2
1,437787657,624,28,12,1,1,0,2
2,440166426,416,0,0,2,0,0,2
2,440166425,415,26,10,2,1,0,2
2,440146990,326,0,0,2,0,1,2
2,440146989,327,5,5,1,1,0,2
2,438046746,231,0,0,2,0,1,2
2,438046745,234,1,1,2,1,0,2
2,441197626,468,1,0,2,0,0,1
2,441197625,470,1,0,1,1,0,1
2,442248250,629,1,0,2,0,0,1
2,442248249,632,1,0,2,1,0,1
2,443298878,656,0,0,2,0,0,1
2,443298877,659,0,0,1,1,0,1
2,438055950,597,0,0,1,0,0,2
2,441223214,885,1,0,1,0,0,1
2,441223213,882,1,0,1,1,0,1
2,438055949,597,30,14,2,1,0,2
2,438055954,359,0,0,2,0,0,2
2,438055953,360,0,0,1,1,0,2
2,442281006,450,1,0,1,0,0,1
2,442281005,448,1,0,1,1,0,1
2,439096354,500,0,0,1,0,0,2
2,439109654,547,0,0,1,0,0,2
2,439109654,136,0,0,1,0,1,2
2,439096353,501,19,3,1,1,0,2
2,439109653,133,17,1,2,1,0,2
3,438576178,241,0,0,1,0,1,2
3,438576177,239,13,13,1,1,0,2
3,438576177,239,14,14,1,1,0,2
3,441211922,564,0,0,2,0,0,1
3,441211921,563,0,0,2,1,0,1
3,437527590,111,0,0,1,0,0,2
